date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:19	552/552	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:f78cc1f9466b369552e7ebe253a74fd6%22	https://qiszar.my/robots.txt		(from )
23:23:19	134705/134705	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:552c1d2fc8b146437c708f0d32b9e04f%22	https://qiszar.my/	C:/Users/ACER/Desktop/QISZAR/qiszar.my/index.html	(from )
23:23:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jan%202025%2016:23:19%20GMT	http://qiszar.my/cdn/shop/files/WhatsApp_Image_2024-03-13_at_12.37.47_PM_32x32.jpg?v=1710304716	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/files/WhatsApp_Image_2024-03-13_at_12.37.47_PM_32x32.0f9ff.delayed	(from https://qiszar.my/)
23:23:20	1339/1339	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202024%2017:52:09%20GMT	https://qiszar.my/cdn/shop/files/WhatsApp_Image_2024-03-13_at_12.37.47_PM_32x32.jpg?v=1710304716	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/files/WhatsApp_Image_2024-03-13_at_12.37.47_PM_32x32f9ff.jpg	(from https://qiszar.my/)
23:23:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jan%202025%2016:23:20%20GMT	http://qiszar.my/cdn/shop/t/2/assets/theme.scss.css?v=81404907210159865031724725088	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/theme.scssfa6b.css	(from https://qiszar.my/)
23:23:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jan%202025%2016:23:21%20GMT	http://qiszar.my/cdn/shop/t/2/assets/vendor.js?v=13400759239242057651583649991	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/vendor6b24.js	(from https://qiszar.my/)
23:23:21	176164/176164	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Aug%202024%2002:18:12%20GMT	https://qiszar.my/cdn/shop/t/2/assets/theme.scss.css?v=81404907210159865031724725088	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/theme.scssfa6b.css	(from https://qiszar.my/)
23:23:21	410323/410323	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2007%20Nov%202024%2019:20:34%20GMT	https://qiszar.my/cdn/shop/t/2/assets/vendor.js?v=13400759239242057651583649991	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/vendor6b24.js	(from https://qiszar.my/)
23:23:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jan%202025%2016:23:21%20GMT	http://qiszar.my/cdn/shop/t/2/assets/theme.js?v=44816919459627247381686187514	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/theme617b.js	(from https://qiszar.my/)
23:23:23	77471/77471	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2025%20May%202024%2000:15:21%20GMT	https://qiszar.my/cdn/shop/t/2/assets/theme.js?v=44816919459627247381686187514	C:/Users/ACER/Desktop/QISZAR/qiszar.my/cdn/shop/t/2/assets/theme617b.js	(from https://qiszar.my/)
